"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 26 09:17:05 GMT 2023","Mon Jun 26 09:18:11 GMT 2023","65434","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆详情.TestDispatcher#test_api","00138_""zip链接"":2组数据比较"
"failed","Mon Jun 26 09:12:23 GMT 2023","Mon Jun 26 09:12:23 GMT 2023","17","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆.TestDispatcher#test_api","00080_""风格妆包详情"":2组数据比较"
"passed","Mon Jun 26 09:12:45 GMT 2023","Mon Jun 26 09:12:45 GMT 2023","9","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆详情.TestDispatcher#test_api","00117_""状态信息"":2组数据比较"
"passed","Mon Jun 26 09:08:51 GMT 2023","Mon Jun 26 09:08:51 GMT 2023","15","TestCase.C360_Android.风格妆_字段对照_And_PRE","编辑侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.编辑侧风格妆详情.TestDispatcher#test_api","00055_""zip+md5"":2组数据比较"
"passed","Mon Jun 26 09:12:21 GMT 2023","Mon Jun 26 09:12:22 GMT 2023","764","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆","TestDispatcher","","","https://cdn-bm.camera360.com/api/product/unity-suit","00074_值获取"
"passed","Mon Jun 26 09:12:43 GMT 2023","Mon Jun 26 09:12:43 GMT 2023","9","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆.TestDispatcher#test_api","00111_""实验gid"":2组数据比较"
"passed","Mon Jun 26 09:12:21 GMT 2023","Mon Jun 26 09:12:21 GMT 2023","15","TestCase.C360_Android.风格妆_字段对照_And_PRE","编辑侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.编辑侧风格妆详情.TestDispatcher#test_api","00069_""解锁类型"":2组数据比较"
"passed","Mon Jun 26 09:12:21 GMT 2023","Mon Jun 26 09:12:21 GMT 2023","16","TestCase.C360_Android.风格妆_字段对照_And_PRE","编辑侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.编辑侧风格妆详情.TestDispatcher#test_api","00066_""风格妆类型"":2组数据比较"
"passed","Mon Jun 26 09:12:42 GMT 2023","Mon Jun 26 09:12:42 GMT 2023","18","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆.TestDispatcher#test_api","00091_""类型"":2组数据比较"
"passed","Mon Jun 26 09:12:21 GMT 2023","Mon Jun 26 09:12:21 GMT 2023","15","TestCase.C360_Android.风格妆_字段对照_And_PRE","编辑侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.编辑侧风格妆详情.TestDispatcher#test_api","00070_"""":2组数据比较"
"passed","Mon Jun 26 09:06:09 GMT 2023","Mon Jun 26 09:06:09 GMT 2023","14","TestCase.C360_Android.风格妆_字段对照_And_PRE","编辑侧风格妆","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.编辑侧风格妆.TestDispatcher#test_api","00032_"""":2组数据比较"
"failed","Mon Jun 26 09:12:45 GMT 2023","Mon Jun 26 09:12:45 GMT 2023","19","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆详情.TestDispatcher#test_api","00115_""风格妆详情数据"":2组数据比较"
"passed","Mon Jun 26 09:12:45 GMT 2023","Mon Jun 26 09:12:45 GMT 2023","14","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆详情.TestDispatcher#test_api","00119_""风格妆ID"":2组数据比较"
"passed","Mon Jun 26 09:06:09 GMT 2023","Mon Jun 26 09:06:09 GMT 2023","13","TestCase.C360_Android.风格妆_字段对照_And_PRE","编辑侧风格妆","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.编辑侧风格妆.TestDispatcher#test_api","00027_""标签下架时间"":2组数据比较"
"passed","Mon Jun 26 09:12:45 GMT 2023","Mon Jun 26 09:12:45 GMT 2023","9","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆详情.TestDispatcher#test_api","00116_""状态码"":2组数据比较"
"passed","Mon Jun 26 09:06:09 GMT 2023","Mon Jun 26 09:06:09 GMT 2023","16","TestCase.C360_Android.风格妆_字段对照_And_PRE","编辑侧风格妆","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.编辑侧风格妆.TestDispatcher#test_api","00014_"""":2组数据比较"
"passed","Mon Jun 26 09:18:11 GMT 2023","Mon Jun 26 09:18:11 GMT 2023","13","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆详情.TestDispatcher#test_api","00144_"""":2组数据比较"
"passed","Mon Jun 26 09:12:43 GMT 2023","Mon Jun 26 09:12:43 GMT 2023","17","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆.TestDispatcher#test_api","00098_"""":2组数据比较"
"passed","Mon Jun 26 09:12:22 GMT 2023","Mon Jun 26 09:12:23 GMT 2023","510","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆","TestDispatcher","","","https://cdn-bm.camera360.com/api/product/unity-suit","00075_Response data获取"
"passed","Mon Jun 26 09:18:11 GMT 2023","Mon Jun 26 09:18:11 GMT 2023","12","TestCase.C360_Android.风格妆_字段对照_And_PRE","相机侧风格妆详情","TestDispatcher","","","TestCase.C360_Android.风格妆_字段对照_And_PRE.相机侧风格妆详情.TestDispatcher#test_api","00146_""是否VIP"":2组数据比较"
